6,5
7,8
3,3
7,5
8,9
16,30
57,250
50,49
67,66
56,47
59,45
73,69
75,87
83,99
63,57
65,45
70,60
72,77
110,1112
33,117
101,998
89,143
70,85
66,76
61,61
69,66
113,1031
2,1
7,4
11,14
51,148
97,296
59,62
69,73
63,63
71,66
109,563
18,18
2,1
2,1
7,4
13,16
77,244
52,42
48,36
55,52
61,53
88,310
51,140
9,6
9,21
2,1
7,11
7,15
9,28
6,6
14,26
22,35
31,36
21,15
21,15
27,28
33,30
55,75
44,43
49,55
49,52
47,38
86,767
18,35
20,52
75,325
52,47
64,56
55,51
62,53
76,82
65,59
93,679
11,13
5,4
2,1
9,8
12,9
17,17
65,291
61,73
48,40
61,53
54,46
53,49
57,49
80,572
17,23
50,237
52,89
39,28
33,23
39,26
47,47
50,41
43,33
40,31
48,38
47,31
67,151
45,122
5,5
