10,14
13,33
27,56
42,163
63,295
73,304
30,35
14,13
19,16
14,11
19,16
28,35
31,31
12,9
18,15
20,22
24,26
113,1196
116,1181
108,1139
24,35
17,29
12,13
15,10
23,19
119,1182
25,72
7,6
3,2
5,7
6,6
8,11
23,71
89,532
75,257
17,19
12,13
11,8
4,2
102,538
64,287
10,10
4,4
3,3
5,4
5,7
5,5
5,6
9,12
9,12
9,13
28,74
83,335
14,18
17,38
22,40
17,20
74,297
75,261
25,70
15,34
7,19
8,24
9,27
14,41
26,84
34,94
34,45
15,14
21,21
21,30
22,20
20,27
10,13
14,11
8,9
16,16
89,793
91,721
93,571
79,377
14,12
10,9
8,7
13,10
19,16
11,19
99,741
99,646
99,684
96,591
96,530
91,399
90,532
86,325
85,453
30,51
13,14
16,18
13,24
7,11
12,19
85,613
80,406
83,583
41,88
12,11
14,12
14,17
11,10
15,13
11,9
7,7
7,7
5,3
25,38
53,133
10,11
4,2
