1499752840	557	708
1499752880	557	708
1499752940	557	708
1499753040	557	708
1499753060	557	708
1499753400	557	708
1499753440	500	708
1499753460	500	708
1499753480	579	708
1499753500	579	708
1499753520	579	708
1499753540	579	708
1499753560	579	708
1499753580	579	708
1499753660	737	1482
1499753660	579	1482
1499753660	579	737
1499753680	557	579
1499753680	579	1482
1499753680	579	737
1499753700	500	579
1499753700	737	1482
1499753700	579	1482
1499753700	500	1482
1499753700	557	1482
1499753720	557	579
1499753720	500	579
1499753720	579	1482
1499753720	500	1482
1499753720	500	557
1499753720	557	1482
1499753740	500	579
1499753740	500	737
1499753740	579	1482
1499753740	500	1482
1499753740	557	1482
1499753760	500	512
1499753760	500	579
1499753760	579	1482
1499753760	500	1482
1499753760	512	579
1499753760	512	557
1499753760	500	557
1499753760	557	1482
1499753780	737	1482
1499753800	737	1482
1499753820	737	1482
1499753820	500	1482
1499753820	557	1482
1499753840	557	1482
1499753860	557	1482
1499753880	737	1482
1499753900	737	1482
1499753920	737	1482
1499753920	500	1482
1499753940	737	1482
1499753940	500	1482
1499753940	512	579
1499753960	737	1482
1499753960	500	1482
1499753960	512	579
1499753980	737	1482
1499753980	500	1482
1499754000	737	1482
1499754000	500	1482
1499754020	512	579
1499754040	512	579
1499754060	737	1482
1499754080	557	579
1499754080	500	579
1499754080	579	1482
1499754080	557	1482
1499754100	579	1482
1499754100	500	1482
1499754100	557	1482
1499754120	737	1482
1499754120	579	1482
1499754120	579	737
1499754120	500	1482
1499754140	737	1482
1499754140	579	1482
1499754140	579	737
1499754140	500	1482
1499754160	500	579
1499754160	579	1482
1499754160	500	1482
1499754180	500	579
1499754180	579	1482
1499754180	500	1482
1499754200	737	1482
1499754200	500	579
1499754200	579	1482
1499754200	500	1482
1499754220	500	579
1499754220	579	1482
1499754220	500	1482
1499754240	500	579
1499754260	737	1482
1499754260	500	579
1499754280	737	1482
1499754280	500	579
1499754300	737	1482
1499754320	737	1482
1499754320	500	579
1499754340	500	579
1499754360	737	1482
1499754360	500	579
1499754380	500	579
1499754400	500	579
1499754420	500	579
1499754420	318	1482
1499754440	500	579
1499754540	318	557
1499754560	737	1482
1499754560	500	579
1499754580	500	579
1499754600	737	1482
1499754600	500	579
1499754620	500	579
1499754620	318	557
1499754640	500	579
1499754640	318	557
1499754680	500	579
1499754700	737	1482
1499754700	500	579
1499754740	737	1482
1499754780	500	579
1499754800	500	579
1499754840	500	579
1499754920	512	719
1499754960	512	719
1499755020	512	719
1499755040	500	579
1499755060	500	579
1499755080	500	579
1499755100	500	579
1499755120	512	719
1499755140	500	579
1499755140	512	719
1499755140	87	1053
1499755160	500	579
1499755160	87	1053
1499755160	557	708
1499755180	500	579
1499755180	87	1053
1499755200	500	579
1499755200	87	1053
1499755200	1053	1482
1499755200	557	708
1499755200	87	1482
1499755200	318	708
1499755220	500	579
1499755220	87	1053
1499755220	557	708
1499755220	318	557
1499755240	500	579
1499755240	87	1053
1499755240	318	557
1499755260	500	579
1499755260	87	1053
1499755280	719	1076
1499755280	500	579
1499755280	87	1053
1499755280	557	708
1499755300	719	1076
1499755300	87	1053
1499755320	719	1076
1499755320	87	1053
1499755340	719	1076
1499755340	512	1076
1499755340	87	1053
1499755360	500	579
1499755360	87	1053
1499755360	318	557
1499755380	719	1076
